id,type,label
"ration-digitization","story","Digitizing PDS: How Technology Plugged the Leakage in India's Food Security Net"
"https://consumeraffairs.gov.in","source","Ministry of Consumer Affairs Annual Report"
"https://worldbank.org","source","World Bank PDS Assessment 2025"
"ration-digitization-claim-0","claim","Digitization has eliminated all leakages in the PDS system."
"hash-399000610","evidence","While leakage has been significantly reduced from ~40% to under 10%, pilferage continues through ghost cards in states with incomplete Aadhaar seeding and manual reconciliation loopholes."
"ration-digitization-claim-1","claim","ONORC has benefited over 50 crore interstate migrant workers."
"hash-1906016281","evidence","Government data shows 50.7 crore portable transactions recorded under ONORC between 2020 and 2026, supporting this claim."
"hash-859986552","source","Ministry of Consumer Affairs"
"anganwadi-icds","story","Anganwadi Centres: India's Frontline Nutrition Workers Are Burning Out"
"https://wcd.gov.in","source","Ministry of Women and Child Development Annual Report"
"anganwadi-icds-claim-0","claim","Anganwadi workers earn wages comparable to MGNREGA workers."
"hash-1839022611","evidence","While MGNREGA wages average ₹267/day for 100 days, anganwadi workers receive a fixed monthly honorarium of ₹10,000 — roughly ₹333/day but with no guaranteed days, pensions, or benefits."
"hash-471677159","source","Social Welfare Department"
"anganwadi-icds-claim-1","claim","India has reduced stunting among children under 5 from 48% to 35% since 2006."
"hash-998545789","evidence","NFHS-5 (2019-21) data shows stunting declined from 48% (NFHS-3, 2005-06) to 35.5%, though progress has slowed in the last 5 years."
"hash-163207223","source","UNICEF India Report"
"supply-chain-shift","story","The Great Supply Chain Shift: Can India Capture the China+1 Opportunity?"
"https://dpiit.gov.in","source","DPIIT Annual Report 2025-26"
"supply-chain-shift-claim-0","claim","India has surpassed Vietnam as the top alternative manufacturing destination to China."
"hash-525562928","evidence","India received $85 billion in FDI from supply chain relocation since 2023 vs Vietnam's $45 billion in the same period, though Vietnam has higher ease of doing business scores."
"hash-1441861323","source","World Bank Investment Report"
"supply-chain-shift-claim-1","claim","India's logistics infrastructure is globally competitive."
"hash-997517477","evidence","India ranks 38th on the World Bank Logistics Performance Index. Port turnaround time (48 hrs) is double the global average (24 hrs), and logistics costs are 14% of GDP vs 8% in developed economies."
"hash-850453987","source","Ministry of Commerce"
"ethanol-backlash","story","E20 Backlash: India's Ethanol Push and the Consumer Revolt That Followed"
"https://mopng.gov.in","source","MoPNG Ethanol Blending Dashboard"
"https://localcircles.com","source","LocalCircles Survey on E20 Impact"
"https://araiindia.com","source","ARAI Vehicle Compatibility Study"
"ethanol-backlash-claim-0","claim","E20 petrol causes only 1-2% mileage reduction in four-wheelers."
"hash-1441001293","evidence","ARAI tests show 1-6% drop for compliant vehicles; independent surveys report 8-12% drops for older non-compliant vehicles. Nearly 30 crore vehicles on Indian roads are not E20-compliant."
"hash-1090350541","source","MoPNG Official Statement"
"ethanol-backlash-claim-1","claim","Ethanol blending saved India $19.3 billion in foreign exchange."
"hash-679252429","evidence","Government data confirms cumulative forex savings of $19.3 billion, with ₹1.06 lakh crore in farmer payments."
"hash-613419204","source","MoPNG Annual Report"
"ethanol-backlash-claim-2","claim","Sugar diversion for ethanol has caused retail sugar prices to spike."
"hash-1926891636","evidence","Sugar prices rose from ₹40/kg (May 2023) to ₹45/kg (May 2025) as 4 million tonnes of sugar-equivalent was diverted to ethanol."
"hash-1378623806","source","Consumer Groups"
"ews-quota-upsc-investigation","story","Who Really Gets the EWS Quota? An Investigation into UPSC's 104 Selections"
"https://indianexpress.com/article/express-exclusive/ews-quota-civil-services-exam-2025-investigation-10746897/","source","Indian Express Investigation (June 2026)"
"https://upsc.gov.in","source","UPSC CSE 2025 Final Result"
"https://sc.gov.in","source","Supreme Court Judgment — Janhit Abhiyan 2022"
"ews-quota-upsc-investigation-claim-0","claim","The EWS quota primarily benefits the truly economically disadvantaged."
"hash-798971304","evidence","While some genuine beneficiaries exist, the investigation found 64.4% used premium coaching (fees up to ₹2.65 lakh) and 27% had business family backgrounds — inconsistent with the ₹8 lakh income ceiling."
"hash-2008023552","source","Government Statement"
"ews-quota-upsc-investigation-claim-1","claim","The 103rd Amendment breaches the 50% reservation ceiling."
"hash-1435471296","evidence","The Indira Sawhney judgment set a 50% ceiling. The 103rd Amendment adds 10% EWS on top, taking total reservation to ~60%. The SC upheld it 3:2; dissenting judges cited the ceiling breach."
"hash-1688117064","source","Petitioners"
"us-iran-relations","story","US-Iran Relations: From Maximum Pressure to Nuclear Negotiations"
"https://iaea.org","source","IAEA Verification Reports"
"https://eia.gov","source","US Energy Information Administration"
"us-iran-relations-claim-0","claim","Iran's nuclear program is for peaceful purposes only."
"hash-144419454","evidence","IAEA reports confirm Iran has enriched uranium to 60% purity, far beyond the 3.67% needed for civilian nuclear power and consistent with weapons-grade enrichment capability."
"hash-1017706288","source","Government of Iran"
"us-iran-relations-claim-1","claim","US sanctions on Iran have successfully curtailed its regional proxy network funding."
"hash-1909983616","evidence","Treasury estimates Iran's budget for proxy forces (Hezbollah, Houthis, Iraqi militias) declined by 40% from $16 billion to $9.6 billion annually between 2018-2025."
"hash-1147785139","source","US Treasury Department"
"indian-education-crisis","story","India's Education Paradox: Rising Enrolment, Falling Learning — What Went Wrong?"
"https://asercentre.org","source","ASER Centre Reports 2024-25"
"https://udiseplus.gov.in","source","Unified District Information System for Education (UDISE+)"
"https://nep2020.gov.in","source","National Education Policy 2020"
"indian-education-crisis-claim-0","claim","The no-detention policy under RTE has improved learning outcomes by reducing dropout rates."
"hash-22967941","evidence","While dropout rates declined from 8% to 4%, ASER data shows learning outcomes actually worsened during the no-detention period (2010-2019), with Grade 5 reading ability declining from 53% to 47%."
"hash-1018738170","source","Ministry of Education, 2019"
"indian-education-crisis-claim-1","claim","India's teacher shortage has been fully addressed through the Samagra Shiksha Abhiyan."
"hash-1784816344","evidence","As of 2025, there are 1.2 million teacher vacancies across government schools. Recruitment under Samagra Shiksha has filled only 35% of sanctioned positions."
"hash-2008688869","source","Government Press Release 2024"
"indian-education-crisis-claim-2","claim","Private schools in India outperform government schools in learning outcomes when controlled for socio-economic factors."
"hash-1272404507","evidence","ASER data shows private school students score 12-18% higher in reading and math, and this gap persists even when controlling for parental income and education levels."
"hash-1477267368","source","Annual Status of Education Report 2024"
"income-inequality-india","story","Income Inequality in India: The Top 1% Now Owns 40% of the Wealth"
"https://wir2025.wid.world","source","World Inequality Lab — India Report 2025"
"https://oxfamindia.org","source","Oxfam India — Inequality Report"
"https://sbi.co.in","source","SBI Economic Research Reports"
"income-inequality-india-claim-0","claim","Poverty reduction in India has lifted 415 million people out of poverty since 2005."
"hash-103169564","evidence","UN and World Bank data confirm that India achieved the MDG target of halving poverty ahead of schedule. However, the poverty line threshold ($2.15/day 2017 PPP) masks the precarious economic status of those just above it."
"hash-6848971","source","UN MDG Report"
"income-inequality-india-claim-1","claim","India's direct tax-to-GDP ratio is among the highest in emerging economies, indicating progressive taxation."
"hash-608117964","evidence","While direct tax-to-GDP ratio at 6.3% is respectable, the effective tax incidence on the wealthy is low due to exemptions, capital gains preference, and corporate tax cuts. Only 2% of Indians pay income tax."
"hash-1005802938","source","Government Economic Survey 2025-26"
"income-inequality-india-claim-2","claim","Wealth inequality in India is now higher than during the British colonial period."
"hash-234949589","evidence","World Inequality Lab data shows the top 1% wealth share at 40.1% (2024), surpassing the estimated 37% during the British Raj (1930s). India's current inequality level is among the highest in Asia."
"hash-876326938","source","World Inequality Lab 2024"
"india-china-border-tensions","story","India-China Border: Galwan and the Standoff Four Years On"
"https://iiss.org","source","IISS Military Balance 2026"
"https://mea.gov.in","source","Ministry of External Affairs Annual Report"
"https://c4ads.org","source","C4ADS Analysis of LAC Infrastructure"
"india-china-border-tensions-claim-0","claim","India's infrastructure development along the border now matches China's pace."
"hash-434340927","evidence","While India has accelerated border road construction under the Border Infrastructure Organisation, China still outpaces India 3:1 in road construction, operates 7 dual-use airfields within striking distance, and has built 500+ hardened structures. India's capability gap is narrowing but remains significant."
"hash-1544641213","source","Ministry of Defence, 2025"
"india-china-border-tensions-claim-1","claim","Chinese incursions across the LAC have decreased since the Galwan clash."
"hash-485347547","evidence","India's proactive posture and year-round deployment has reduced PLA patrol incursions from 237 (2019) to 74 (2025). However, incursions now involve larger formations and longer durations."
"hash-1828577546","source","Government Briefing 2025"
"india-china-border-tensions-claim-2","claim","India's Act East policy has successfully reduced Chinese influence in India's neighbourhood."
"hash-583716040","evidence","While India has deepened ties with ASEAN, Japan, Australia, and Pacific Island nations, China remains the largest trading partner for most South Asian countries and has invested $50 billion in CPEC and $12 billion in Myanmar infrastructure since 2020."
"hash-957123790","source","MEA Annual Report 2025-26"
"indias-foreign-policy","story","India's Foreign Policy at 80: From Non-Alignment to Multi-Alignment"
"https://sipri.org","source","SIPRI Arms Transfers Database"
"https://orfonline.org","source","Observer Research Foundation (ORF)"
"indias-foreign-policy-claim-0","claim","India has successfully reduced its dependence on Russian military hardware imports."
"hash-919129424","evidence","Russia's share of Indian defence imports declined from 70% (2010-2014) to 45% (2020-2025), with the US, France, and Israel filling the gap. However, Russia remains India's largest defence supplier."
"indias-foreign-policy-claim-1","claim","India's neighbourhood first policy has resulted in improved bilateral ties with all South Asian neighbours."
"hash-369149573","evidence","While ties with Bhutan and Bangladesh have strengthened, relations with Pakistan remain frozen post-2019, Nepal's political ties have fluctuated, and Maldives' ""India Out"" campaign (2023-24) damaged bilateral relations before the 2025 thaw."
"indias-foreign-policy-claim-2","claim","India's G20 presidency amplified the voice of developing countries in global governance."
"hash-901901179","evidence","India secured the inclusion of the African Union as a permanent G20 member, hosted two Voice of Global South Summits, and placed climate finance, debt restructuring, and Global South priorities on the G20 agenda."
"hash-2105111073","source","Observer Research Foundation, 2023"
"satluj-ban","story","The Satluj Files: Censored, Released, Removed — The 48-Hour Life of India's Most Controversial Film"
"https://main.sci.gov.in","source","Prithpal Singh vs State of Punjab — Supreme Court (2011)"
"https://cbi.gov.in","source","CBI Investigation Records — Khalra Case"
"https://ensaaf.org","source","Ensaaf — Khalra Case Documentation"
"https://hrw.org","source","Human Rights Watch — Protecting the Killers (2007)"
"satluj-ban-claim-0","claim","The CBFC has the authority to regulate content on OTT streaming platforms."
"hash-632015417","evidence","The CBFC is a statutory body under the Cinematograph Act, 1952, which only governs films exhibited in theatres. OTT platforms are regulated under Part III of the IT Rules 2021 — a separate framework."
"hash-779774782","source","Common Misconception"
"satluj-ban-claim-1","claim","Jaswant Singh Khalra's investigation documented 25,000 illegal killings by Punjab Police."
"hash-1497991665","evidence","Corroborated by CBI investigations and Supreme Court in Prithpal Singh vs State of Punjab (2011)."
"hash-268300569","source","Khalra Investigation"
"satluj-ban-claim-2","claim","Satluj was released without any certification process being completed, violating IT Rules."
"hash-887034484","evidence","The film was submitted to CBFC in 2022 but remained in unresolved dispute. OTT platforms are legally separate from CBFC jurisdiction. The IT Rules require age classification — not CBFC pre-clearance."
"hash-2114762694","source","I&B Ministry"
"india-us-relations","story","India-US Relations: From Nuclear Deal to Critical Technology Partnership"
"https://state.gov/us-india-relations","source","US State Department — US-India Relations Fact Sheet"
"https://sipri.org/databases/armstransfers","source","SIPRI Arms Transfers Database"
"https://census.gov/foreign-trade","source","US Census Bureau Trade Data"
"india-us-relations-claim-0","claim","The US is India's most reliable defence partner, supplying cutting-edge military technology."
"hash-1031085808","evidence","The US has supplied C-17, C-130, P-8I, Apache, Chinook, and MQ-9B drones. Total defence deals exceed $25 billion since 2016."
"hash-1871900600","source","Ministry of Defence"
"india-us-relations-claim-1","claim","India-US trade relations are free of barriers and disputes."
"hash-1487395852","evidence","India imposed retaliatory tariffs on $1.4 billion of US goods in 2019. US concerns remain on India's data localization, digital services tax, and medical device price caps. WTO disputes on solar cells and shrimp continue."
"hash-91819776","source","US Chamber of Commerce"
"india-us-relations-claim-2","claim","The H4 EAD rule allows Indian spouses to work freely in the US."
"hash-481092508","evidence","The H4 EAD rule (permitting H1B spouses to work) is under legal challenge and has been subject to proposed revocation under multiple administrations. Its future remains uncertain."
"hash-550501448","source","Community Reports"
"india-indonesia-relations","story","India-Indonesia: How Maritime Neighbours Are Reshaping the Indo-Pacific"
"https://mea.gov.in/india-indonesia","source","MEA — India-Indonesia Relations"
"https://asean.org","source","ASEAN Secretariat Reports"
"india-indonesia-relations-claim-0","claim","India's Act East Policy has significantly strengthened ties with Indonesia."
"hash-1654237135","evidence","High-level visits have increased from 2 per year (2010-14) to 8 per year (2020-25). Defence cooperation, maritime patrols, and trade have all grown substantially."
"hash-1089324702","source","MEA White Paper"
"india-indonesia-relations-claim-1","claim","Indonesia is the most important partner for India's Indo-Pacific strategy."
"hash-1120621354","evidence","While Indonesia is crucial as ASEAN's largest economy and a maritime neighbour, India's Indo-Pacific strategy also prioritises Japan, Australia, Vietnam, and the US equally."
"hash-1361888894","source","Strategic Analyst"
"india-china-relations","story","India-China: Two Asian Giants in an Era of Mistrust and Strategic Rivalry"
"https://indianarmy.nic.in","source","Indian Army Western Command Situation Reports"
"https://ipcs.org","source","IPCS — India-China Border Studies"
"india-china-relations-claim-0","claim","India's ban on Chinese apps has permanently reduced Chinese digital influence in India."
"hash-1813607675","evidence","TikTok, UC Browser, and 400+ banned apps lost access to 1.2 billion users. Chinese app market share in India fell from 43% (2019) to under 5% (2025). However, Chinese hardware brands (Xiaomi, Vivo, Oppo) still dominate Indian smartphone market."
"hash-1484240195","source","Government of India"
"india-china-relations-claim-1","claim","China's Belt and Road Initiative is purely an economic development programme."
"hash-428250984","evidence","BRI projects in Hambantota (Sri Lanka), CPEC (Pakistan), and Gwadar are structured with debt traps, strategic port access, and military applications. Sri Lanka's Hambantota port was leased to China for 99 years after failing to repay BRI loans."
"hash-1381825986","source","Chinese Foreign Ministry"
"india-china-relations-claim-2","claim","PLA troop levels along the LAC have returned to pre-2020 levels after disengagement."
"hash-595839157","evidence","Satellite imagery confirms 60,000-70,000 additional Chinese troops remain permanently stationed in depth along the LAC, with new infrastructure including hardened bunkers, helipads, and logistics depots built since 2020."
"hash-1604981783","source","PLA Spokesperson"
"india-europe-relations","story","India and Europe: A Strategic Partnership Searching for Substance"
"https://eeas.europa.eu/india","source","European External Action Service — India"
"https://ec.europa.eu/trade/india","source","European Commission Trade — EU-India FTA"
"https://cii.in","source","CII — India-EU Trade Reports"
"india-europe-relations-claim-0","claim","The EU's CBAM will help India decarbonise its heavy industry."
"hash-727977667","evidence","While CBAM may incentivise cleaner production, it acts as a de facto carbon tariff. Indian steel and aluminium exports face 20-35% additional costs. India has raised concerns at the WTO about CBAM violating common but differentiated responsibilities (CBDR) under the Paris Agreement."
"hash-1779433564","source","European Commission"
"india-europe-relations-claim-1","claim","The India-EU FTA will be concluded by 2025."
"hash-613353168","evidence","As of mid-2026, the FTA remains unratified. Key sticking points persist on EU demands for lower auto and wine tariffs, stricter IP protections (data exclusivity for pharmaceuticals), and India's insistence on easier visa access for professionals and data adequacy status."
"india-uk-relations","story","India-UK Relations: Beyond Colonial History to a Modern Strategic Partnership"
"https://gov.uk/india-uk","source","UK FCDO — India-UK Relations"
"https://mea.gov.in/india-uk","source","MEA — India-UK Bilateral Relations"
"india-uk-relations-claim-0","claim","The India-UK FTA will be the most comprehensive trade deal India has ever signed with a Western country."
"hash-268754705","evidence","The proposed FTA covers goods, services, investment, digital trade, IPR, and government procurement — broader than India's earlier FTAs with ASEAN, Japan, and South Korea."
"hash-2064542407","source","UK Secretary of State for Trade"
"india-uk-relations-claim-1","claim","British colonial rule was beneficial for India's economic development."
"hash-1181000781","evidence","Multiple economic historians (Maddison, Tharoor, Banerjee) estimate that Britain extracted £9.2 trillion (in 2020 values) from India through 200 years of colonial rule. India's share of global GDP fell from 23% (1700) to 3% (1947). India's per capita income stagnated while Britain's grew 10x."
"hash-916266733","source","Revisionist Historians"
"india-russia-relations","story","India-Russia: The Enduring Partnership Tested by War and Realignment"
"https://mea.gov.in/india-russia","source","MEA — India-Russia Bilateral Relations"
"https://ppac.gov.in","source","PPAC — Indian Crude Oil Import Data"
"india-russia-relations-claim-0","claim","India's oil imports from Russia are not violating Western sanctions."
"hash-1254890312","evidence","India has not breached G7 price cap mechanisms and buys Russian oil at discounted rates ($10-15/barrel below Brent). EU nations including France, Italy, and Spain also continue importing Russian refined products."
"india-russia-relations-claim-1","claim","Russia remains India's most reliable defence partner regardless of the Ukraine war."
"hash-1273489408","evidence","While Russia has historically been India's primary defence supplier, deliveries of S-400 systems have been delayed, spare parts availability dropped by 40% since 2022, and Russia has prioritised its own military needs. India's defence imports from Russia fell to 36% (2020-24) from 62% (2014-18)."
"hash-853549709","source","Russian Embassy, New Delhi"
"81-crore-data-breach","story","81.5 Crore Aadhaar Records Exposed: Inside India's Biggest Data Breach"
"https://www.resecurity.com/blog","source","Resecurity HUNTER Report"
"https://thehindu.com","source","The Hindu Coverage"
"81-crore-data-breach-claim-0","claim","The data breach originated from ICMR's COVID-19 testing database."
"hash-1058882410","evidence","Multiple cybersecurity researchers and media investigations traced the data structure and collection methodology to ICMR's COVID-19 testing registration system, which collected Aadhaar and passport details for test result delivery."
"hash-1003903622","source","Resecurity & Multiple Media Reports"
"81-crore-data-breach-claim-1","claim","UIDAI's own systems were compromised in the breach."
"hash-2095492908","evidence","UIDAI clarified that its own systems were not breached. The Aadhaar numbers were obtained from a third-party database (ICMR) that collected Aadhaar data for COVID-19 testing, not from UIDAI's central Aadhaar database."
"hash-1577135396","source","Social Media Misinformation"
"81-crore-data-breach-claim-2","claim","The DPDP Act 2023 would have prevented this breach had it been in force earlier."
"hash-1544889434","evidence","While the DPDP Act mandates stricter data protection obligations for data fiduciaries, the breach occurred in October 2023, just two months after the Act received presidential assent. Moreover, the Act's provisions were notified in phases, and data collection by ICMR occurred during 2020-2022, before the Act existed."
"hash-326228042","source","Policy Advocacy Groups"
"81-crore-data-breach-claim-3","claim","Aadhaar-enabled Payment System (AEPS) fraud directly increased due to this breach."
"hash-1427422825","evidence","The RBI's Financial Stability Report noted a 42% increase in AEPS fraud attempts in the quarters following the breach, with fraudsters using leaked Aadhaar numbers and biometric data to attempt unauthorized transactions."
"hash-605744204","source","RBI Financial Stability Report Dec 2023"
"bjp-mission-360","story","Mission 360 & The 2024 Retrospective: Campaign Strategy vs Election Reality"
"https://results.eci.gov.in","source","Election Commission of India — General Election 2024 Results"
"https://www.bhaskarenglish.in/national/news/bjp-mission-360-two-thirds-majority-constitutional-reforms-138340238.html","source","Bhaskar English — Mission 360 Report"
"bjp-mission-360-claim-0","claim","The BJP secured 360+ seats in the 2024 Lok Sabha elections."
"hash-265573329","evidence","In the June 2024 general election, the BJP won 240 seats and the NDA coalition won 293 seats. 360+ was a campaign target, not an election outcome."
"hash-1988486981","source","Campaign Slogans"
"bjp-mission-360-claim-1","claim","Passing constitutional amendments requiring a two-thirds majority is currently possible for the NDA alone."
"hash-1587537122","evidence","With 293 NDA seats in the 543-member Lok Sabha, the ruling coalition is 69 seats short of the 362 votes needed for a two-thirds majority under Article 368."
"hash-1521615412","source","Political Analysts"
"india-5g-rollout","story","India's 5G Revolution: 400 Million Subscribers and Still Waiting for the Killer App"
"https://trai.gov.in","source","TRAI Telecom Subscription Reports"
"https://dot.gov.in","source","Department of Telecommunications Annual Report 2025-26"
"https://speedtest.net/global-index/india","source","Ookla Speedtest Global Index — India"
"https://nokia.com/networks/mbit","source","Nokia MBiT Report 2026"
"https://crisil.com","source","CRISIL Telecom Sector Annual Review 2026"
"india-5g-rollout-claim-0","claim","India is the world's largest mobile data consumer, with average monthly smartphone data usage exceeding 25 GB."
"hash-1740915068","evidence","Nokia's annual MBiT report confirms India's average smartphone data consumption at 25.6 GB/month — the highest globally — driven by affordable 5G data plans priced at approximately ₹15/GB, among the cheapest in the world."
"hash-1624697004","source","Nokia MBiT Report 2026"
"india-5g-rollout-claim-1","claim","5G services achieved nationwide coverage across India by late 2025."
"hash-426384834","evidence","While 5G covers over 85% of urban India, rural coverage remains at approximately 35%. Total geographical 5G coverage is below 50%. Only 40% of towers are fiberized, and significant rural coverage gaps persist across Bihar, UP East, and Northeast circles."
"hash-1202986528","source","Telecom Industry Association Briefing"
"india-5g-rollout-claim-2","claim","Enterprise 5G use cases in India remain in early pilot stages with minimal revenue contribution for telecom operators."
"hash-44992614","evidence","Enterprise 5G accounts for less than 5% of telecom operators' revenue as of mid-2026. Deployments in smart manufacturing, remote surgery, and precision agriculture remain pilot-stage with limited commercial scale."
"hash-1158941153","source","CRISIL Telecom Sector Report 2026"
"india-5g-rollout-claim-3","claim","India has deployed a full standalone (SA) 5G core network, enabling ultra-low latency applications nationwide."
"hash-498790129","evidence","Both Jio and Airtel have deployed 5G in Non-Standalone (NSA) mode, relying on existing 4G evolved packet cores. Standalone 5G core deployment with network slicing and sub-10ms latency remains in trial phases. True SA 5G is at least 12-18 months away from commercial deployment."
"hash-2016324292","source","Social Media and Tech Forums"
