source,target,type
"hash-1839022611","anganwadi-icds-claim-0","refutes"
"hash-1839022611","hash-471677159","cites"
"anganwadi-icds","anganwadi-icds-claim-1","references"
"hash-998545789","anganwadi-icds-claim-1","verifies"
"hash-998545789","hash-163207223","cites"
"supply-chain-shift","https://dpiit.gov.in","references"
"supply-chain-shift","https://worldbank.org","references"
"supply-chain-shift","supply-chain-shift-claim-0","references"
"hash-525562928","supply-chain-shift-claim-0","verifies"
"hash-525562928","hash-1441861323","cites"
"supply-chain-shift","supply-chain-shift-claim-1","references"
"hash-997517477","supply-chain-shift-claim-1","refutes"
"hash-997517477","hash-850453987","cites"
"ethanol-backlash","https://mopng.gov.in","references"
"ethanol-backlash","https://localcircles.com","references"
"ethanol-backlash","https://araiindia.com","references"
"ethanol-backlash","ethanol-backlash-claim-0","references"
"hash-1441001293","ethanol-backlash-claim-0","refutes"
"hash-1441001293","hash-1090350541","cites"
"ethanol-backlash","ethanol-backlash-claim-1","references"
"hash-679252429","ethanol-backlash-claim-1","verifies"
"hash-679252429","hash-613419204","cites"
"ethanol-backlash","ethanol-backlash-claim-2","references"
"hash-1926891636","ethanol-backlash-claim-2","verifies"
"hash-1926891636","hash-1378623806","cites"
"ews-quota-upsc-investigation","https://indianexpress.com/article/express-exclusive/ews-quota-civil-services-exam-2025-investigation-10746897/","references"
"ews-quota-upsc-investigation","https://upsc.gov.in","references"
"ews-quota-upsc-investigation","https://sc.gov.in","references"
"ews-quota-upsc-investigation","ews-quota-upsc-investigation-claim-0","references"
"hash-798971304","ews-quota-upsc-investigation-claim-0","refutes"
"hash-798971304","hash-2008023552","cites"
"ews-quota-upsc-investigation","ews-quota-upsc-investigation-claim-1","references"
"hash-1435471296","ews-quota-upsc-investigation-claim-1","verifies"
"hash-1435471296","hash-1688117064","cites"
"us-iran-relations","https://iaea.org","references"
"us-iran-relations","https://eia.gov","references"
"us-iran-relations","us-iran-relations-claim-0","references"
"hash-144419454","us-iran-relations-claim-0","refutes"
"hash-144419454","hash-1017706288","cites"
"us-iran-relations","us-iran-relations-claim-1","references"
"hash-1909983616","us-iran-relations-claim-1","verifies"
"hash-1909983616","hash-1147785139","cites"
"indian-education-crisis","https://asercentre.org","references"
"indian-education-crisis","https://udiseplus.gov.in","references"
"indian-education-crisis","https://nep2020.gov.in","references"
"indian-education-crisis","indian-education-crisis-claim-0","references"
"hash-22967941","indian-education-crisis-claim-0","refutes"
"hash-22967941","hash-1018738170","cites"
"indian-education-crisis","indian-education-crisis-claim-1","references"
"hash-1784816344","indian-education-crisis-claim-1","refutes"
"hash-1784816344","hash-2008688869","cites"
"indian-education-crisis","indian-education-crisis-claim-2","references"
"hash-1272404507","indian-education-crisis-claim-2","verifies"
"hash-1272404507","hash-1477267368","cites"
"income-inequality-india","https://wir2025.wid.world","references"
"income-inequality-india","https://oxfamindia.org","references"
"income-inequality-india","https://sbi.co.in","references"
"income-inequality-india","income-inequality-india-claim-0","references"
"hash-103169564","income-inequality-india-claim-0","verifies"
"hash-103169564","hash-6848971","cites"
"income-inequality-india","income-inequality-india-claim-1","references"
"hash-608117964","income-inequality-india-claim-1","refutes"
"hash-608117964","hash-1005802938","cites"
"income-inequality-india","income-inequality-india-claim-2","references"
"hash-234949589","income-inequality-india-claim-2","verifies"
"hash-234949589","hash-876326938","cites"
"india-china-border-tensions","https://iiss.org","references"
"india-china-border-tensions","https://mea.gov.in","references"
"india-china-border-tensions","https://c4ads.org","references"
"india-china-border-tensions","india-china-border-tensions-claim-0","references"
"hash-434340927","india-china-border-tensions-claim-0","refutes"
"hash-434340927","hash-1544641213","cites"
"india-china-border-tensions","india-china-border-tensions-claim-1","references"
"hash-485347547","india-china-border-tensions-claim-1","verifies"
"hash-485347547","hash-1828577546","cites"
"india-china-border-tensions","india-china-border-tensions-claim-2","references"
"hash-583716040","india-china-border-tensions-claim-2","refutes"
"hash-583716040","hash-957123790","cites"
"indias-foreign-policy","https://mea.gov.in","references"
"indias-foreign-policy","https://sipri.org","references"
"indias-foreign-policy","https://orfonline.org","references"
"indias-foreign-policy","indias-foreign-policy-claim-0","references"
"hash-919129424","indias-foreign-policy-claim-0","verifies"
"hash-919129424","hash-1544641213","cites"
"indias-foreign-policy","indias-foreign-policy-claim-1","references"
"hash-369149573","indias-foreign-policy-claim-1","refutes"
"hash-369149573","hash-957123790","cites"
"indias-foreign-policy","indias-foreign-policy-claim-2","references"
"hash-901901179","indias-foreign-policy-claim-2","verifies"
"hash-901901179","hash-2105111073","cites"
"satluj-ban","https://main.sci.gov.in","references"
"satluj-ban","https://cbi.gov.in","references"
"satluj-ban","https://meity.gov.in","references"
"satluj-ban","https://ensaaf.org","references"
"satluj-ban","https://hrw.org","references"
"satluj-ban","satluj-ban-claim-0","references"
"hash-632015417","satluj-ban-claim-0","refutes"
"hash-632015417","hash-779774782","cites"
"satluj-ban","satluj-ban-claim-1","references"
"hash-1497991665","satluj-ban-claim-1","verifies"
"hash-1497991665","hash-268300569","cites"
"satluj-ban","satluj-ban-claim-2","references"
"hash-887034484","satluj-ban-claim-2","refutes"
"hash-887034484","hash-2114762694","cites"
"india-us-relations","https://state.gov/us-india-relations","references"
"india-us-relations","https://sipri.org/databases/armstransfers","references"
"india-us-relations","https://census.gov/foreign-trade","references"
"india-us-relations","india-us-relations-claim-0","references"
"hash-1031085808","india-us-relations-claim-0","verifies"
"hash-1031085808","hash-1871900600","cites"
"india-us-relations","india-us-relations-claim-1","references"
"hash-1487395852","india-us-relations-claim-1","refutes"
"hash-1487395852","hash-91819776","cites"
"india-us-relations","india-us-relations-claim-2","references"
"hash-481092508","india-us-relations-claim-2","verifies"
"hash-481092508","hash-550501448","cites"
"india-indonesia-relations","https://mea.gov.in/india-indonesia","references"
"india-indonesia-relations","https://asean.org","references"
"india-indonesia-relations","india-indonesia-relations-claim-0","references"
"hash-1654237135","india-indonesia-relations-claim-0","verifies"
"hash-1654237135","hash-1089324702","cites"
"india-indonesia-relations","india-indonesia-relations-claim-1","references"
"hash-1120621354","india-indonesia-relations-claim-1","verifies"
"hash-1120621354","hash-1361888894","cites"
"india-china-relations","https://indianarmy.nic.in","references"
"india-china-relations","https://ipcs.org","references"
"india-china-relations","https://sipri.org","references"
"india-china-relations","india-china-relations-claim-0","references"
"hash-1813607675","india-china-relations-claim-0","verifies"
"hash-1813607675","hash-1484240195","cites"
"india-china-relations","india-china-relations-claim-1","references"
"hash-428250984","india-china-relations-claim-1","refutes"
"hash-428250984","hash-1381825986","cites"
"india-china-relations","india-china-relations-claim-2","references"
"hash-595839157","india-china-relations-claim-2","refutes"
"hash-595839157","hash-1604981783","cites"
"india-europe-relations","https://eeas.europa.eu/india","references"
"india-europe-relations","https://ec.europa.eu/trade/india","references"
"india-europe-relations","https://cii.in","references"
"india-europe-relations","india-europe-relations-claim-0","references"
"hash-727977667","india-europe-relations-claim-0","refutes"
"hash-727977667","hash-1779433564","cites"
"india-europe-relations","india-europe-relations-claim-1","references"
"hash-613353168","india-europe-relations-claim-1","refutes"
"hash-613353168","hash-1779433564","cites"
"india-uk-relations","https://gov.uk/india-uk","references"
"india-uk-relations","https://mea.gov.in/india-uk","references"
"india-uk-relations","india-uk-relations-claim-0","references"
"hash-268754705","india-uk-relations-claim-0","verifies"
"hash-268754705","hash-2064542407","cites"
"india-uk-relations","india-uk-relations-claim-1","references"
"hash-1181000781","india-uk-relations-claim-1","refutes"
"hash-1181000781","hash-916266733","cites"
"india-russia-relations","https://mea.gov.in/india-russia","references"
"india-russia-relations","https://sipri.org/databases/armstransfers","references"
"india-russia-relations","https://ppac.gov.in","references"
"india-russia-relations","india-russia-relations-claim-0","references"
"hash-1254890312","india-russia-relations-claim-0","verifies"
"hash-1254890312","hash-1484240195","cites"
"india-russia-relations","india-russia-relations-claim-1","references"
"hash-1273489408","india-russia-relations-claim-1","refutes"
"hash-1273489408","hash-853549709","cites"
"81-crore-data-breach","https://www.resecurity.com/blog","references"
"81-crore-data-breach","https://cbi.gov.in","references"
"81-crore-data-breach","https://meity.gov.in/dpdp","references"
"81-crore-data-breach","https://rbi.org.in","references"
"81-crore-data-breach","https://thehindu.com","references"
"81-crore-data-breach","81-crore-data-breach-claim-0","references"
"hash-1058882410","81-crore-data-breach-claim-0","verifies"
"hash-1058882410","hash-1003903622","cites"
"81-crore-data-breach","81-crore-data-breach-claim-1","references"
"hash-2095492908","81-crore-data-breach-claim-1","refutes"
"hash-2095492908","hash-1577135396","cites"
"81-crore-data-breach","81-crore-data-breach-claim-2","references"
"hash-1544889434","81-crore-data-breach-claim-2","refutes"
"hash-1544889434","hash-326228042","cites"
"81-crore-data-breach","81-crore-data-breach-claim-3","references"
"hash-1427422825","81-crore-data-breach-claim-3","verifies"
"hash-1427422825","hash-605744204","cites"
"bjp-mission-360","https://results.eci.gov.in","references"
"bjp-mission-360","https://prsindia.org","references"
"bjp-mission-360","https://www.bhaskarenglish.in/national/news/bjp-mission-360-two-thirds-majority-constitutional-reforms-138340238.html","references"
"bjp-mission-360","bjp-mission-360-claim-0","references"
"hash-265573329","bjp-mission-360-claim-0","refutes"
"hash-265573329","hash-1988486981","cites"
"bjp-mission-360","bjp-mission-360-claim-1","references"
"hash-1587537122","bjp-mission-360-claim-1","refutes"
"hash-1587537122","hash-1521615412","cites"
"india-5g-rollout","https://trai.gov.in","references"
"india-5g-rollout","https://dot.gov.in","references"
"india-5g-rollout","https://speedtest.net/global-index/india","references"
"india-5g-rollout","https://nokia.com/networks/mbit","references"
"india-5g-rollout","https://crisil.com","references"
"india-5g-rollout","india-5g-rollout-claim-0","references"
"hash-1740915068","india-5g-rollout-claim-0","verifies"
"hash-1740915068","hash-1624697004","cites"
"india-5g-rollout","india-5g-rollout-claim-1","references"
"hash-426384834","india-5g-rollout-claim-1","refutes"
"hash-426384834","hash-1202986528","cites"
"india-5g-rollout","india-5g-rollout-claim-2","references"
"hash-44992614","india-5g-rollout-claim-2","verifies"
"hash-44992614","hash-1158941153","cites"
"india-5g-rollout","india-5g-rollout-claim-3","references"
"hash-498790129","india-5g-rollout-claim-3","refutes"
"hash-498790129","hash-2016324292","cites"
"india-ev-paradox","https://siam.in","references"
"india-ev-paradox","https://heavyindustries.gov.in","references"
"india-ev-paradox","https://niti.gov.in","references"
"india-ev-paradox","https://cii.in","references"
"india-ev-paradox","https://about.bnef.com","references"
"india-ev-paradox","india-ev-paradox-claim-0","references"
"hash-417272411","india-ev-paradox-claim-0","verifies"
"hash-417272411","hash-1226212015","cites"
"india-ev-paradox","india-ev-paradox-claim-1","references"
"hash-1840342010","india-ev-paradox-claim-1","refutes"
"hash-1840342010","hash-310133772","cites"
"india-ev-paradox","india-ev-paradox-claim-2","references"
"hash-728198324","india-ev-paradox-claim-2","verifies"
"hash-728198324","hash-1884198836","cites"
"india-ev-paradox","india-ev-paradox-claim-3","references"
"hash-554204131","india-ev-paradox-claim-3","refutes"
"hash-554204131","hash-1046509160","cites"
"ayushman-bharat","https://dashboard.pmjay.gov.in","references"
"ayushman-bharat","https://mohfw.gov.in","references"
"ayushman-bharat","https://who.int","references"
"ayushman-bharat","https://cag.gov.in","references"
"ayushman-bharat","ayushman-bharat-claim-0","references"
"hash-1799549633","ayushman-bharat-claim-0","verifies"
"hash-1799549633","hash-1321105812","cites"
"ayushman-bharat","ayushman-bharat-claim-1","references"
"hash-1368336578","ayushman-bharat-claim-1","refutes"
"hash-1368336578","hash-2008688868","cites"
"ayushman-bharat","ayushman-bharat-claim-2","references"
"hash-342757372","ayushman-bharat-claim-2","verifies"
"hash-342757372","hash-1740687316","cites"
"electoral-bonds","https://eci.gov.in","references"
"electoral-bonds","https://main.sci.gov.in","references"
"electoral-bonds","https://adrindia.org","references"
"electoral-bonds","https://sbi.co.in","references"
"electoral-bonds","https://thehindu.com","references"
"electoral-bonds","https://ft.com","references"
"electoral-bonds","https://livemint.com","references"
"electoral-bonds","electoral-bonds-claim-0","references"
"hash-1718611156","electoral-bonds-claim-0","refutes"
"hash-1718611156","hash-1484240195","cites"
"electoral-bonds","electoral-bonds-claim-1","references"
"hash-14168066","electoral-bonds-claim-1","verifies"
"hash-14168066","hash-1488378218","cites"
"electoral-bonds","electoral-bonds-claim-2","references"
"hash-2094227292","electoral-bonds-claim-2","verifies"
"hash-2094227292","hash-1681548906","cites"
"electoral-bonds","electoral-bonds-claim-3","references"
"hash-62119732","electoral-bonds-claim-3","refutes"
"hash-62119732","hash-1484240195","cites"
"electoral-bonds","electoral-bonds-claim-4","references"
"hash-1962736018","electoral-bonds-claim-4","refutes"
"hash-1962736018","hash-779774782","cites"
"who-cancer-report-2026","https://who.int/publications/cancer-report-2026","references"
"who-cancer-report-2026","https://gco.iarc.fr","references"
"who-cancer-report-2026","https://iarc.who.int","references"
"who-cancer-report-2026","https://who.int/news-room/fact-sheets/detail/cancer","references"
"who-cancer-report-2026","https://ncdirindia.org","references"
"who-cancer-report-2026","https://who.int/india/health-topics/cancer","references"
"who-cancer-report-2026","https://thelancet.com/journals/lanonc","references"
"who-cancer-report-2026","https://worldbank.org/uhc","references"
"who-cancer-report-2026","who-cancer-report-2026-claim-0","references"
"hash-2118507891","who-cancer-report-2026-claim-0","verifies"
"hash-2118507891","hash-220232762","cites"
"who-cancer-report-2026","who-cancer-report-2026-claim-1","references"
"hash-398449419","who-cancer-report-2026-claim-1","verifies"
"hash-398449419","hash-220232762","cites"
"who-cancer-report-2026","who-cancer-report-2026-claim-2","references"
"hash-282285092","who-cancer-report-2026-claim-2","verifies"
"hash-282285092","hash-1584981373","cites"
"who-cancer-report-2026","who-cancer-report-2026-claim-3","references"
"hash-1517312654","who-cancer-report-2026-claim-3","refutes"
"hash-1517312654","hash-779774782","cites"
"who-cancer-report-2026","who-cancer-report-2026-claim-4","references"
"hash-1836421101","who-cancer-report-2026-claim-4","verifies"
"hash-1836421101","hash-1510698346","cites"
"who-cancer-report-2026","who-cancer-report-2026-claim-5","references"
"hash-1701901396","who-cancer-report-2026-claim-5","verifies"
"hash-1701901396","hash-713579779","cites"
"who-cancer-report-2026","who-cancer-report-2026-claim-6","references"
"hash-152896343","who-cancer-report-2026-claim-6","verifies"
"hash-152896343","hash-421400256","cites"
"who-cancer-report-2026","who-cancer-report-2026-claim-7","references"
"hash-897509235","who-cancer-report-2026-claim-7","verifies"
"hash-897509235","hash-220232762","cites"
"us-iran-war-strait-of-hormuz","https://abcnews.com/us-iran-ceasefire-timeline","references"
"us-iran-war-strait-of-hormuz","https://hormuzstraitmonitor.com/crisis-timeline/","references"
"us-iran-war-strait-of-hormuz","https://globalsecurity.org/military/ops/iran-war-oprep.htm","references"
"us-iran-war-strait-of-hormuz","https://eia.gov","references"
"us-iran-war-strait-of-hormuz","https://seavantage.com/blog/strait-of-hormuz-crisis-2026","references"
"us-iran-war-strait-of-hormuz","https://discoveryalert.com.au","references"
"us-iran-war-strait-of-hormuz","https://timesnownews.com","references"
"us-iran-war-strait-of-hormuz","https://cnbc.com","references"
"us-iran-war-strait-of-hormuz","https://iea.org","references"
"us-iran-war-strait-of-hormuz","https://mappr.co/strait-of-hormuz-crisis-2026/","references"
"us-iran-war-strait-of-hormuz","us-iran-war-strait-of-hormuz-claim-0","references"
"hash-502652728","us-iran-war-strait-of-hormuz-claim-0","verifies"
"hash-502652728","hash-548517256","cites"
"us-iran-war-strait-of-hormuz","us-iran-war-strait-of-hormuz-claim-1","references"
"hash-460950700","us-iran-war-strait-of-hormuz-claim-1","verifies"
"hash-460950700","hash-468169744","cites"
"us-iran-war-strait-of-hormuz","us-iran-war-strait-of-hormuz-claim-2","references"
"hash-122466878","us-iran-war-strait-of-hormuz-claim-2","verifies"
"hash-122466878","hash-2003103752","cites"
"us-iran-war-strait-of-hormuz","us-iran-war-strait-of-hormuz-claim-3","references"
"hash-1314287492","us-iran-war-strait-of-hormuz-claim-3","refutes"
"hash-1314287492","hash-1078449656","cites"
"us-iran-war-strait-of-hormuz","us-iran-war-strait-of-hormuz-claim-4","references"
"hash-2014828382","us-iran-war-strait-of-hormuz-claim-4","verifies"
"hash-2014828382","hash-746215606","cites"
"us-iran-war-strait-of-hormuz","us-iran-war-strait-of-hormuz-claim-5","references"
"hash-1635119414","us-iran-war-strait-of-hormuz-claim-5","verifies"
"hash-1635119414","hash-375274217","cites"
"us-iran-war-strait-of-hormuz","us-iran-war-strait-of-hormuz-claim-6","references"
"hash-952167303","us-iran-war-strait-of-hormuz-claim-6","verifies"
"hash-952167303","hash-389734294","cites"
"epf-scheme-2026","https://labour.gov.in","references"
"epf-scheme-2026","https://economictimes.indiatimes.com/wealth/invest/epf-scheme-2026-replaces-epf-scheme-1952","references"
"epf-scheme-2026","https://moneycontrol.com/news/business/personal-finance/epf-scheme-2026-notified","references"
"epf-scheme-2026","https://wionews.com/india-news/epf-scheme-2026-new-pf-rules","references"
"epf-scheme-2026","https://kustodian.life/provident-fund/epfo-latest-news/epf-scheme-2026","references"
"epf-scheme-2026","https://epfindia.gov.in","references"
"epf-scheme-2026","https://livemint.com/money/personal-finance/eps2026-replaces-eps-95","references"
"epf-scheme-2026","epf-scheme-2026-claim-0","references"
"hash-1464067465","epf-scheme-2026-claim-0","refutes"
"hash-1464067465","hash-144755810","cites"
"epf-scheme-2026","epf-scheme-2026-claim-1","references"
"hash-1061623925","epf-scheme-2026-claim-1","verifies"
"hash-1061623925","hash-607604305","cites"
"epf-scheme-2026","epf-scheme-2026-claim-2","references"
"hash-1215843637","epf-scheme-2026-claim-2","verifies"
"hash-1215843637","hash-1142426193","cites"
"epf-scheme-2026","epf-scheme-2026-claim-3","references"
"hash-1320460226","epf-scheme-2026-claim-3","refutes"
"hash-1320460226","hash-1133688189","cites"
"epf-scheme-2026","epf-scheme-2026-claim-4","references"
"hash-673469689","epf-scheme-2026-claim-4","refutes"
"hash-673469689","hash-1382609259","cites"
"epf-scheme-2026","epf-scheme-2026-claim-5","references"
"hash-2085986053","epf-scheme-2026-claim-5","verifies"
"hash-2085986053","hash-1873599827","cites"
"epf-scheme-2026","epf-scheme-2026-claim-6","references"
"hash-1834974536","epf-scheme-2026-claim-6","verifies"
"hash-1834974536","hash-154230995","cites"
"youth-mental-health-crisis","https://ncrb.gov.in","references"
"youth-mental-health-crisis","https://nimhans.ac.in","references"
"youth-mental-health-crisis","https://thelancet.com","references"
"youth-mental-health-crisis","https://icmr.gov.in","references"
"youth-mental-health-crisis","https://who.int","references"
"youth-mental-health-crisis","https://education.gov.in","references"
"youth-mental-health-crisis","https://telemanas.mohfw.gov.in","references"
"youth-mental-health-crisis","https://legislative.gov.in","references"
"youth-mental-health-crisis","https://unesco.org","references"
"youth-mental-health-crisis","youth-mental-health-crisis-claim-0","references"
"hash-852314754","youth-mental-health-crisis-claim-0","verifies"
"hash-852314754","hash-368620646","cites"
"youth-mental-health-crisis","youth-mental-health-crisis-claim-1","references"
"hash-1019369598","youth-mental-health-crisis-claim-1","verifies"
"hash-1019369598","hash-863786182","cites"
"youth-mental-health-crisis","youth-mental-health-crisis-claim-2","references"
"hash-155444198","youth-mental-health-crisis-claim-2","verifies"
"hash-155444198","hash-2094346421","cites"
"youth-mental-health-crisis","youth-mental-health-crisis-claim-3","references"
"hash-1160759957","youth-mental-health-crisis-claim-3","refutes"
"hash-1160759957","hash-779774782","cites"
"youth-mental-health-crisis","youth-mental-health-crisis-claim-4","references"
"hash-1412390596","youth-mental-health-crisis-claim-4","verifies"
"hash-1412390596","hash-170515013","cites"
"youth-mental-health-crisis","youth-mental-health-crisis-claim-5","references"
"hash-1478955157","youth-mental-health-crisis-claim-5","refutes"
"hash-1478955157","hash-85182403","cites"
"youth-mental-health-crisis","youth-mental-health-crisis-claim-6","references"
"hash-26912117","youth-mental-health-crisis-claim-6","verifies"
"hash-26912117","hash-4677816","cites"
"gig-worker-rights","https://niti.gov.in","references"
"gig-worker-rights","https://karnataka.gov.in","references"
"gig-worker-rights","https://labour.gov.in","references"
"gig-worker-rights","https://eshram.gov.in","references"
"gig-worker-rights","https://ilo.org","references"
"gig-worker-rights","https://loksabha.nic.in","references"
"gig-worker-rights","https://lokniti.org","references"
"gig-worker-rights","https://ifat.org.in","references"
"gig-worker-rights","https://zomato.com","references"
"gig-worker-rights","https://rajasthan.gov.in","references"
"gig-worker-rights","gig-worker-rights-claim-0","references"
"hash-2083174792","gig-worker-rights-claim-0","verifies"
"hash-2083174792","hash-824986333","cites"
"gig-worker-rights","gig-worker-rights-claim-1","references"
"hash-1717455501","gig-worker-rights-claim-1","verifies"
"hash-1717455501","hash-589462727","cites"
"gig-worker-rights","gig-worker-rights-claim-2","references"
"hash-181476421","gig-worker-rights-claim-2","refutes"
"hash-181476421","hash-779774782","cites"
"gig-worker-rights","gig-worker-rights-claim-3","references"
"hash-212988274","gig-worker-rights-claim-3","refutes"
"hash-212988274","hash-392289266","cites"
"gig-worker-rights","gig-worker-rights-claim-4","references"
"hash-55266647","gig-worker-rights-claim-4","verifies"
"hash-55266647","hash-1893620678","cites"
"gig-worker-rights","gig-worker-rights-claim-5","references"
"hash-1036108086","gig-worker-rights-claim-5","refutes"
"hash-1036108086","hash-1864213596","cites"
"gig-worker-rights","gig-worker-rights-claim-6","references"
"hash-1001756721","gig-worker-rights-claim-6","verifies"
"hash-1001756721","hash-255605561","cites"
"namami-gange-under-fire","https://cag.gov.in/uploads/download_audit_report/2025/Report-No.-2-of-2025_Namami-Gange_UK_English-(04-07-2025)-069b020170bd314.74984302.pdf","references"
"namami-gange-under-fire","https://cag.gov.in/uploads/download_audit_report/2017/Report_No.39_of_2017_-_Performance_Audit_on_Ministry_of_Water_Resources,_River_Development_&_Ganga_Rejuvenation_Union_Government.pdf","references"
"namami-gange-under-fire","https://loksabha.nic.in","references"
"namami-gange-under-fire","https://pib.gov.in/PressReleasePage.aspx?PRID=2244007","references"
"namami-gange-under-fire","https://www.pib.gov.in/PressReleasePage.aspx?PRID=2109118","references"
"namami-gange-under-fire","https://pib.gov.in/PressReleasePage.aspx?PRID=2150722","references"
"namami-gange-under-fire","https://www.jalshakti-dowr.gov.in/static/uploads/2025/12/9f19eeb5c327c523bb9af86a310a45d8.pdf","references"
"namami-gange-under-fire","https://avantiscdnprodstorage.blob.core.windows.net/legalupdatedocs/47384/CPCB-issued-a-Report-on-Polluted-River-Stretches-for-Restoration-of-Water-Quality-2025-SEP292025.pdf","references"
"namami-gange-under-fire","https://cpcb.nic.in","references"
"namami-gange-under-fire","https://cpcb.gov.in/nwmp-data-2025","references"
"namami-gange-under-fire","https://frontline.thehindu.com/environment/namami-gange-displacement-riverbank-cleaning-up-river-restoration/article70955264.ece","references"
"namami-gange-under-fire","https://frontline.thehindu.com/the-nation/murky-waters/article10008438.ece","references"
"namami-gange-under-fire","https://economictimes.indiatimes.com/news/india/namami-gange-failed-to-deliver-expected-results-in-uttarakhand-cag-report/articleshow/129558284.cms","references"
"namami-gange-under-fire","https://www.nationalheraldindia.com/india/namami-gange-why-it-is-a-failure","references"
"namami-gange-under-fire","https://timesofindia.indiatimes.com/india/complete-failure-in-cleaning-up-ganga-cong-slams-govt/articleshow/110584892.cms","references"
"namami-gange-under-fire","https://www.downtoearth.org.in/governance/daily-court-digest-major-environment-orders-july-26-2024","references"
"namami-gange-under-fire","https://www.downtoearth.org.in/governance/daily-court-digest-major-environment-orders-january-13-2025","references"
"namami-gange-under-fire","https://www.downtoearth.org.in/environment/daily-court-digest-major-environment-orders-september-5-2024","references"
"namami-gange-under-fire","https://www.bhaskarenglish.in/local/uttarakhand/news/uttarakhand-assembly-water-quality-drops-ganga-cag-report-137405153.html","references"
"namami-gange-under-fire","https://theprint.in/india/namami-gange-failed-to-deliver-expected-results-in-uttarakhand-cag-report/2878404/","references"
