route,route_type,classification,status_code,governing_feature,source_file,notes
"/topic/digital-payments","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/employment","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/environment","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/education","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/semiconductor","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/health","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/mental-health","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/governance","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/infrastructure","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/topic/geopolitics","TOPIC","PUBLIC-PUBLISHED",200,"Topic Hub","app/topic/[slug]/page.tsx","Verified"
"/story/ng-ch-01-the-promise","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-02-follow-the-money","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-03-the-sewage-problem","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-04-the-audit-trail","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-05-procurement-and-accountability","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-06-why-stps-dont-work","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-07-water-quality","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-08-city-report-cards","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-09-contractors","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-10-timeline-of-delays","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-11-ecology","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-12-voices-from-the-river","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-13-government-response","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-14-what-worked","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
"/story/ng-ch-15-recommendations","STORY","PUBLIC-DRAFT",404,"Quarantined Draft","app/story/[slug]/page.tsx","Verified"
