story_slug,story_title,image_path,image_dimensions,image_format,image_status,semantic_match,duplicate_status,alt_text,credit,license,action
"us-iran-relations","US-Iran Relations: From Maximum Pressure to Nuclear Negotiations","/images/stories/us-iran-relations.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","US-Iran Relations: From Maximum Pressure to Nuclear Negotiations","The Breakdown Archives","Editorial / Fair Use","KEEP"
"indian-education-crisis","India's Education Paradox: Rising Enrolment, Falling Learning — What Went Wrong?","/images/placeholders/education-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","India's Education Paradox: Rising Enrolment, Falling Learning — What Went Wrong?","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"income-inequality-india","Income Inequality in India: The Top 1% Now Owns 40% of the Wealth","/images/placeholders/economy-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","Income Inequality in India: The Top 1% Now Owns 40% of the Wealth","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"india-china-border-tensions","India-China Border: Galwan and the Standoff Four Years On","/images/stories/india-china-border-tensions.jpg","1200x675","jpg","EXISTS","MATCH","REUSED","India-China Border: Galwan and the Standoff Four Years On","The Breakdown Archives","Editorial / Fair Use","KEEP"
"indias-foreign-policy","India's Foreign Policy at 80: From Non-Alignment to Multi-Alignment","/images/placeholders/policy-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","India's Foreign Policy at 80: From Non-Alignment to Multi-Alignment","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"satluj-ban","The Satluj Files: Censored, Released, Removed — The 48-Hour Life of India's Most Controversial Film","/images/stories/satluj-ban.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","The Satluj Files: Censored, Released, Removed — The 48-Hour Life of India's Most Controversial Film","The Breakdown Archives","Editorial / Fair Use","KEEP"
"india-us-relations","India-US Relations: From Nuclear Deal to Critical Technology Partnership","/images/stories/india-us-relations.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","India-US Relations: From Nuclear Deal to Critical Technology Partnership","The Breakdown Archives","Editorial / Fair Use","KEEP"
"india-indonesia-relations","India-Indonesia: How Maritime Neighbours Are Reshaping the Indo-Pacific","/images/placeholders/policy-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","India-Indonesia: How Maritime Neighbours Are Reshaping the Indo-Pacific","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"india-china-relations","India-China: Two Asian Giants in an Era of Mistrust and Strategic Rivalry","/images/stories/india-china-border-tensions.jpg","1200x675","jpg","EXISTS","WEAK","REUSED","India-China: Two Asian Giants in an Era of Mistrust and Strategic Rivalry","The Breakdown Archives","Editorial / Fair Use","VERIFY_OR_DIFFERENTIATE"
"india-europe-relations","India and Europe: A Strategic Partnership Searching for Substance","/images/stories/india-europe-relations.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","India and Europe: A Strategic Partnership Searching for Substance","The Breakdown Archives","Editorial / Fair Use","KEEP"
"india-uk-relations","India-UK Relations: Beyond Colonial History to a Modern Strategic Partnership","/images/placeholders/policy-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","India-UK Relations: Beyond Colonial History to a Modern Strategic Partnership","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"india-russia-relations","India-Russia: The Enduring Partnership Tested by War and Realignment","/images/placeholders/policy-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","India-Russia: The Enduring Partnership Tested by War and Realignment","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"81-crore-data-breach","81.5 Crore Aadhaar Records Exposed: Inside India's Biggest Data Breach","/images/stories/aadhaar-sc.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","81.5 Crore Aadhaar Records Exposed: Inside India's Biggest Data Breach","The Breakdown Archives","Editorial / Fair Use","KEEP"
"bjp-mission-360","Mission 360 & The 2024 Retrospective: Campaign Strategy vs Election Reality","/images/placeholders/policy-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","Mission 360 & The 2024 Retrospective: Campaign Strategy vs Election Reality","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"india-5g-rollout","India's 5G Revolution: 400 Million Subscribers and Still Waiting for the Killer App","/images/placeholders/technology-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","UNIQUE","India's 5G Revolution: 400 Million Subscribers and Still Waiting for the Killer App","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"india-ev-paradox","India's EV Paradox: Rising Sales, Stalled Charging, and the ₹4 Lakh Crore Battery Import Bill","/images/placeholders/environment-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","India's EV Paradox: Rising Sales, Stalled Charging, and the ₹4 Lakh Crore Battery Import Bill","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"ayushman-bharat","Ayushman Bharat: India's ₹30,000 Crore Bet on Universal Health Coverage","/images/placeholders/health-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","Ayushman Bharat: India's ₹30,000 Crore Bet on Universal Health Coverage","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"electoral-bonds","Electoral Bonds: The ₹12,769 Crore Anonymous Donation Scheme the Supreme Court Struck Down","/images/stories/electoral-bonds.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","Electoral Bonds: The ₹12,769 Crore Anonymous Donation Scheme the Supreme Court Struck Down","The Breakdown Archives","Editorial / Fair Use","KEEP"
"who-cancer-report-2026","Global Cancer Crisis: WHO Report Warns 35 Million Cases Per Year by 2050 Without Urgent Action","/images/placeholders/health-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","Global Cancer Crisis: WHO Report Warns 35 Million Cases Per Year by 2050 Without Urgent Action","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"us-iran-war-strait-of-hormuz","The Strait of Hormuz War: How the US-Iran Conflict Broke Global Energy Markets","/images/stories/us-iran-war-strait-of-hormuz.jpg","1200x675","jpg","EXISTS","MATCH","UNIQUE","The Strait of Hormuz War: How the US-Iran Conflict Broke Global Energy Markets","The Breakdown Archives","Editorial / Fair Use","KEEP"
"epf-scheme-2026","EPF Scheme 2026: India Replaces 74-Year-Old Retirement Law Under New Social Security Code","/images/placeholders/economy-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","EPF Scheme 2026: India Replaces 74-Year-Old Retirement Law Under New Social Security Code","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"youth-mental-health-crisis","Youth Mental Health Crisis in India: Understanding Rising Suicide Rates","/images/placeholders/health-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","Youth Mental Health Crisis in India: Understanding Rising Suicide Rates","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"gig-worker-rights","Gig Worker Rights in India: The Fight for Dignity in the Platform Economy","/images/placeholders/economy-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","Gig Worker Rights in India: The Fight for Dignity in the Platform Economy","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"namami-gange-under-fire","Namami Gange: Inside India's ₹27,000 Crore Fight to Clean the Ganga — and the Communities It Left Behind","/images/placeholders/environment-placeholder.svg","1200x675","svg","EXISTS","PLACEHOLDER","REUSED","Namami Gange: Inside India's ₹27,000 Crore Fight to Clean the Ganga — and the Communities It Left Behind","The Breakdown Archives","Editorial / Fair Use","UPGRADE_OR_NEUTRALIZE"
"india-china-border-lac","The Cold Peace Along the LAC: Why the India–China Border Remains Unsettled After 75 Years","/images/stories/india-china-border-tensions.jpg","1200x675","jpg","EXISTS","MATCH","REUSED","The Cold Peace Along the LAC: Why the India–China Border Remains Unsettled After 75 Years","The Breakdown Archives","Editorial / Fair Use","KEEP_OR_DEDICATE"
"kashmir-the-first-test","Kashmir: The First Test — How the 1947–48 War Established a Conflict That Remains Unresolved 75 Years Later","/images/library/chapter-1/maps/map-kashmir-1947.svg","1200x675","svg","EXISTS","MATCH","UNIQUE","Kashmir: The First Test — How the 1947–48 War Established a Conflict That Remains Unresolved 75 Years Later","The Breakdown Archives","Editorial / Fair Use","KEEP"
