Content ID,Proposed title,Query,Intent,Pillar,Topic,Format,Existing URL,Action,Evidence requirement,Primary sources,Internal links,Search opportunity,Authority potential,Evergreen value,Monetization relevance,Effort,Priority,Owner,Status
CNT-HP-11,High Priority Issue Guide 11,query hp 11,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-12,High Priority Issue Guide 12,query hp 12,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-13,High Priority Issue Guide 13,query hp 13,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-14,High Priority Issue Guide 14,query hp 14,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-15,High Priority Issue Guide 15,query hp 15,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-16,High Priority Issue Guide 16,query hp 16,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-17,High Priority Issue Guide 17,query hp 17,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-18,High Priority Issue Guide 18,query hp 18,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-19,High Priority Issue Guide 19,query hp 19,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-HP-20,High Priority Issue Guide 20,query hp 20,Policy,Policy & Governance,policy,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/policy,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,High,Editorial Desk,Planned
CNT-MP-01,Medium Priority Explainer 1,query mp 1,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-02,Medium Priority Explainer 2,query mp 2,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-03,Medium Priority Explainer 3,query mp 3,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-04,Medium Priority Explainer 4,query mp 4,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-05,Medium Priority Explainer 5,query mp 5,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-06,Medium Priority Explainer 6,query mp 6,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-07,Medium Priority Explainer 7,query mp 7,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-08,Medium Priority Explainer 8,query mp 8,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-09,Medium Priority Explainer 9,query mp 9,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-10,Medium Priority Explainer 10,query mp 10,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-11,Medium Priority Explainer 11,query mp 11,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-12,Medium Priority Explainer 12,query mp 12,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-13,Medium Priority Explainer 13,query mp 13,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-14,Medium Priority Explainer 14,query mp 14,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-15,Medium Priority Explainer 15,query mp 15,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-16,Medium Priority Explainer 16,query mp 16,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-17,Medium Priority Explainer 17,query mp 17,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-18,Medium Priority Explainer 18,query mp 18,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-19,Medium Priority Explainer 19,query mp 19,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-MP-20,Medium Priority Explainer 20,query mp 20,Explanatory,"Economy, Technology & Systems",technology,Deep Research,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/technology,High informational gaps in competitors,Medium,Medium (1-2 years),High (attracts policy makers and premium newsletters subscribers),Medium,Medium,Editorial Desk,Planned
CNT-EV-01,Evergreen Systems Guide 1,query ev 1,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-02,Evergreen Systems Guide 2,query ev 2,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-03,Evergreen Systems Guide 3,query ev 3,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-04,Evergreen Systems Guide 4,query ev 4,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-05,Evergreen Systems Guide 5,query ev 5,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-06,Evergreen Systems Guide 6,query ev 6,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-07,Evergreen Systems Guide 7,query ev 7,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-08,Evergreen Systems Guide 8,query ev 8,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-09,Evergreen Systems Guide 9,query ev 9,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-10,Evergreen Systems Guide 10,query ev 10,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-11,Evergreen Systems Guide 11,query ev 11,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-12,Evergreen Systems Guide 12,query ev 12,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-13,Evergreen Systems Guide 13,query ev 13,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-14,Evergreen Systems Guide 14,query ev 14,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-15,Evergreen Systems Guide 15,query ev 15,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-16,Evergreen Systems Guide 16,query ev 16,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-17,Evergreen Systems Guide 17,query ev 17,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-18,Evergreen Systems Guide 18,query ev 18,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-19,Evergreen Systems Guide 19,query ev 19,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
CNT-EV-20,Evergreen Systems Guide 20,query ev 20,Explanatory,India & the World,geopolitics,Evergreen Explainer,,CREATE,Tier-1 government records/CAG audit documents,"CAG Reports, gazette notifications, ministry circulars",/topics/geopolitics,High informational gaps in competitors,High (Cornerstone element),High (>3 years),High (attracts policy makers and premium newsletters subscribers),Medium,Low,Editorial Desk,Planned
