URL Type,URL Path,Canonical Tag Present,Canonical matches URL,Canonical is Absolute,Status
Chapter Legacy Path,/story/indias-inheritance,YES (points to series path),NO (redirects),YES,PASS (308 redirect)
Chapter Series Path,/series/foundations-1947-1962/volume/the-nehruvian-era/chapter/kashmir-the-first-test,YES,YES,YES,PASS
Chapter Legacy Path,/story/kashmir-the-first-test,YES (points to series path),NO (redirects),YES,PASS (308 redirect)
Chapter Series Path,/series/foundations-1947-1962/volume/the-nehruvian-era/chapter/india-china-border-lac,YES,YES,YES,PASS
Chapter Legacy Path,/story/india-china-border-lac,YES (points to series path),NO (redirects),YES,PASS (308 redirect)
Chapter Series Path,/series/economic-policy-2026/volume/structural-reforms/chapter/mgnrega-reform,YES,YES,YES,PASS
Chapter Legacy Path,/story/mgnrega-reform,YES (points to series path),NO (redirects),YES,PASS (308 redirect)
Chapter Series Path,/series/economic-policy-2026/volume/structural-reforms/chapter/rbi-repo-rate,YES,YES,YES,PASS
Chapter Legacy Path,/story/rbi-repo-rate,YES (points to series path),NO (redirects),YES,PASS (308 redirect)
Topic Hub,/topic/economy,YES,YES,YES,PASS
Topic Hub,/topic/technology,YES,YES,YES,PASS
Topic Hub,/topic/cybersecurity,YES,YES,YES,PASS
Topic Hub,/topic/policy,YES,YES,YES,PASS
Topic Hub,/topic/agriculture,YES,YES,YES,PASS
Topic Hub,/topic/digital-payments,YES,YES,YES,PASS
Topic Hub,/topic/employment,YES,YES,YES,PASS
Topic Hub,/topic/environment,YES,YES,YES,PASS
Topic Hub,/topic/education,YES,YES,YES,PASS
Topic Hub,/topic/semiconductor,YES,YES,YES,PASS
Topic Hub,/topic/health,YES,YES,YES,PASS
Topic Hub,/topic/mental-health,YES,YES,YES,PASS
Topic Hub,/topic/governance,YES,YES,YES,PASS
Topic Hub,/topic/infrastructure,YES,YES,YES,PASS
Topic Hub,/topic/geopolitics,YES,YES,YES,PASS
Entity Profile,/entity/un,YES,YES,YES,PASS
Entity Profile,/entity/wto,YES,YES,YES,PASS
Entity Profile,/entity/imf,YES,YES,YES,PASS
Entity Profile,/entity/world-bank,YES,YES,YES,PASS
Entity Profile,/entity/who,YES,YES,YES,PASS
Entity Profile,/entity/ilo,YES,YES,YES,PASS
Entity Profile,/entity/brics,YES,YES,YES,PASS
Entity Profile,/entity/sco,YES,YES,YES,PASS
Entity Profile,/entity/g20,YES,YES,YES,PASS
Entity Profile,/entity/saarc,YES,YES,YES,PASS
Entity Profile,/entity/commonwealth,YES,YES,YES,PASS
Entity Profile,/entity/adb,YES,YES,YES,PASS
Entity Profile,/entity/aiib,YES,YES,YES,PASS
Entity Profile,/entity/bimstec,YES,YES,YES,PASS
Entity Profile,/entity/quad,YES,YES,YES,PASS
Entity Profile,/entity/nam,YES,YES,YES,PASS
Entity Profile,/entity/g77,YES,YES,YES,PASS
Entity Profile,/entity/fatf,YES,YES,YES,PASS
Entity Profile,/entity/isa,YES,YES,YES,PASS
Entity Profile,/entity/iora,YES,YES,YES,PASS
Entity Profile,/entity/cdri,YES,YES,YES,PASS
Entity Profile,/entity/icmr,YES,YES,YES,PASS
Entity Profile,/entity/ministry-of-education,YES,YES,YES,PASS
Entity Profile,/entity/ministry-of-labour,YES,YES,YES,PASS
Entity Profile,/entity/mgnrega,YES,YES,YES,PASS
Entity Profile,/entity/ministry-of-rural-development,YES,YES,YES,PASS
Entity Profile,/entity/rbi,YES,YES,YES,PASS
Entity Profile,/entity/npci,YES,YES,YES,PASS
Entity Profile,/entity/ministry-of-agriculture,YES,YES,YES,PASS
Entity Profile,/entity/nmcg,YES,YES,YES,PASS
Entity Profile,/entity/ministry-of-jal-shakti,YES,YES,YES,PASS
Entity Profile,/entity/cpcb,YES,YES,YES,PASS
Entity Profile,/entity/cag,YES,YES,YES,PASS
Entity Profile,/entity/bihar,YES,YES,YES,PASS
Entity Profile,/entity/ministry-of-finance,YES,YES,YES,PASS
Entity Profile,/entity/ministry-of-women-and-child-development,YES,YES,YES,PASS
Entity Profile,/entity/india,YES,YES,YES,PASS
Entity Profile,/entity/election-commission,YES,YES,YES,PASS
Entity Profile,/entity/cert-in,YES,YES,YES,PASS
Entity Profile,/entity/uidai,YES,YES,YES,PASS
Entity Profile,/entity/resecurity,YES,YES,YES,PASS
Fix Solution,/fix/fix-mgnrega-reform,YES,YES,YES,PASS
Fix Solution,/fix/fix-pmfby-claims,YES,YES,YES,PASS
Fix Solution,/fix/fix-air-pollution,YES,YES,YES,PASS
Fix Solution,/fix/fix-farm-income,YES,YES,YES,PASS
Fix Solution,/fix/fix-judicial-pendency,YES,YES,YES,PASS
Fix Solution,/fix/fix-anganwadi-reform,YES,YES,YES,PASS
