Claim ID,Story,Statement,Registry Status,Evidence Count,Status,Action
claim-groundwater-depletion-1,groundwater-depletion,Annual groundwater recharge in India exceeds 445 BCM.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ration-digitization-0,ration-digitization,Digitization has eliminated all leakages in the PDS system.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ration-digitization-1,ration-digitization,ONORC has benefited over 50 crore interstate migrant workers.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-anganwadi-icds-0,anganwadi-icds,Anganwadi workers earn wages comparable to MGNREGA workers.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-anganwadi-icds-1,anganwadi-icds,India has reduced stunting among children under 5 from 48% to 35% since 2006.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-supply-chain-shift-0,supply-chain-shift,India has surpassed Vietnam as the top alternative manufacturing destination to China.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-supply-chain-shift-1,supply-chain-shift,India's logistics infrastructure is globally competitive.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ethanol-backlash-0,ethanol-backlash,E20 petrol causes only 1-2% mileage reduction in four-wheelers.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ethanol-backlash-1,ethanol-backlash,Ethanol blending saved India $19.3 billion in foreign exchange.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ethanol-backlash-2,ethanol-backlash,Sugar diversion for ethanol has caused retail sugar prices to spike.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ews-quota-upsc-investigation-0,ews-quota-upsc-investigation,The EWS quota primarily benefits the truly economically disadvantaged.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ews-quota-upsc-investigation-1,ews-quota-upsc-investigation,The 103rd Amendment breaches the 50% reservation ceiling.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-us-iran-relations-0,us-iran-relations,Iran's nuclear program is for peaceful purposes only.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-us-iran-relations-1,us-iran-relations,US sanctions on Iran have successfully curtailed its regional proxy network funding.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-indian-education-crisis-0,indian-education-crisis,The no-detention policy under RTE has improved learning outcomes by reducing dropout rates.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-indian-education-crisis-1,indian-education-crisis,India's teacher shortage has been fully addressed through the Samagra Shiksha Abhiyan.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-indian-education-crisis-2,indian-education-crisis,Private schools in India outperform government schools in learning outcomes when controlled for socio-economic factors.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-income-inequality-india-0,income-inequality-india,Poverty reduction in India has lifted 415 million people out of poverty since 2005.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-income-inequality-india-1,income-inequality-india,"India's direct tax-to-GDP ratio is among the highest in emerging economies, indicating progressive taxation.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-income-inequality-india-2,income-inequality-india,Wealth inequality in India is now higher than during the British colonial period.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-border-tensions-0,india-china-border-tensions,India's infrastructure development along the border now matches China's pace.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-border-tensions-1,india-china-border-tensions,Chinese incursions across the LAC have decreased since the Galwan clash.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-border-tensions-2,india-china-border-tensions,India's Act East policy has successfully reduced Chinese influence in India's neighbourhood.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-indias-foreign-policy-0,indias-foreign-policy,India has successfully reduced its dependence on Russian military hardware imports.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-indias-foreign-policy-1,indias-foreign-policy,India's neighbourhood first policy has resulted in improved bilateral ties with all South Asian neighbours.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-indias-foreign-policy-2,indias-foreign-policy,India's G20 presidency amplified the voice of developing countries in global governance.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-satluj-ban-0,satluj-ban,The CBFC has the authority to regulate content on OTT streaming platforms.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-satluj-ban-1,satluj-ban,"Jaswant Singh Khalra's investigation documented 25,000 illegal killings by Punjab Police.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-satluj-ban-2,satluj-ban,"Satluj was released without any certification process being completed, violating IT Rules.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-us-relations-0,india-us-relations,"The US is India's most reliable defence partner, supplying cutting-edge military technology.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-us-relations-1,india-us-relations,India-US trade relations are free of barriers and disputes.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-us-relations-2,india-us-relations,The H4 EAD rule allows Indian spouses to work freely in the US.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-indonesia-relations-0,india-indonesia-relations,India's Act East Policy has significantly strengthened ties with Indonesia.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-indonesia-relations-1,india-indonesia-relations,Indonesia is the most important partner for India's Indo-Pacific strategy.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-relations-0,india-china-relations,India's ban on Chinese apps has permanently reduced Chinese digital influence in India.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-relations-1,india-china-relations,China's Belt and Road Initiative is purely an economic development programme.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-relations-2,india-china-relations,PLA troop levels along the LAC have returned to pre-2020 levels after disengagement.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-europe-relations-0,india-europe-relations,The EU's CBAM will help India decarbonise its heavy industry.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-europe-relations-1,india-europe-relations,The India-EU FTA will be concluded by 2025.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-uk-relations-0,india-uk-relations,The India-UK FTA will be the most comprehensive trade deal India has ever signed with a Western country.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-uk-relations-1,india-uk-relations,British colonial rule was beneficial for India's economic development.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-russia-relations-0,india-russia-relations,India's oil imports from Russia are not violating Western sanctions.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-russia-relations-1,india-russia-relations,Russia remains India's most reliable defence partner regardless of the Ukraine war.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-81-crore-data-breach-0,81-crore-data-breach,The data breach originated from ICMR's COVID-19 testing database.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-81-crore-data-breach-1,81-crore-data-breach,UIDAI's own systems were compromised in the breach.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-81-crore-data-breach-2,81-crore-data-breach,The DPDP Act 2023 would have prevented this breach had it been in force earlier.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-81-crore-data-breach-3,81-crore-data-breach,Aadhaar-enabled Payment System (AEPS) fraud directly increased due to this breach.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-bjp-mission-360-0,bjp-mission-360,The BJP secured 360+ seats in the 2024 Lok Sabha elections.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-bjp-mission-360-1,bjp-mission-360,Passing constitutional amendments requiring a two-thirds majority is currently possible for the NDA alone.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-5g-rollout-0,india-5g-rollout,"India is the world's largest mobile data consumer, with average monthly smartphone data usage exceeding 25 GB.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-5g-rollout-1,india-5g-rollout,5G services achieved nationwide coverage across India by late 2025.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-5g-rollout-2,india-5g-rollout,Enterprise 5G use cases in India remain in early pilot stages with minimal revenue contribution for telecom operators.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-5g-rollout-3,india-5g-rollout,"India has deployed a full standalone (SA) 5G core network, enabling ultra-low latency applications nationwide.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-ev-paradox-0,india-ev-paradox,"EV sales in India have grown four-fold in three years, exceeding government targets.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-ev-paradox-1,india-ev-paradox,India's public charging infrastructure is keeping pace with EV sales growth.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-ev-paradox-2,india-ev-paradox,India's battery import dependency is a strategic concern comparable to its oil import vulnerability.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-ev-paradox-3,india-ev-paradox,Electric vehicles are cheaper than internal combustion engine vehicles even without government subsidies.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ayushman-bharat-0,ayushman-bharat,AB-PMJAY fraud detection system has flagged ₹450 crore in suspicious claims using AI.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ayushman-bharat-1,ayushman-bharat,AB-PMJAY covers all secondary and tertiary care treatments across all specialties.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ayushman-bharat-2,ayushman-bharat,AB-PMJAY has demonstrably reduced out-of-pocket health expenditure for BPL families.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-electoral-bonds-0,electoral-bonds,Electoral bonds ended anonymous cash donations and brought transparency to political funding.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-electoral-bonds-1,electoral-bonds,The Supreme Court struck down electoral bonds because they violated the right to information.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-electoral-bonds-2,electoral-bonds,Companies under investigation donated disproportionately to the BJP.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-electoral-bonds-3,electoral-bonds,"Electoral bonds were redeemable only by registered political parties, preventing misuse.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-electoral-bonds-4,electoral-bonds,Shell companies with no real operations could not purchase electoral bonds.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-who-cancer-report-2026-0,who-cancer-report-2026,"Global cancer cases will increase 70% by 2050 without intervention, reaching 35 million annually.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-who-cancer-report-2026-1,who-cancer-report-2026,Breast cancer survival exceeds 85% in high-income countries but falls below 50% in low-income countries.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-who-cancer-report-2026-2,who-cancer-report-2026,"Lung cancer is the leading cause of cancer death worldwide, causing more deaths than breast, colorectal, and prostate cancers combined.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-who-cancer-report-2026-3,who-cancer-report-2026,Most countries include comprehensive cancer care in their universal health coverage packages.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-who-cancer-report-2026-4,who-cancer-report-2026,"Cancer diagnoses are projected to grow fastest in lower-HDI countries, with a 142% increase by 2050.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-who-cancer-report-2026-5,who-cancer-report-2026,Tobacco use is responsible for one in four cancer deaths in India.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-who-cancer-report-2026-6,who-cancer-report-2026,India's cancer incidence is lower than the global average due to its young population.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-who-cancer-report-2026-7,who-cancer-report-2026,Radiation therapy is accessible to fewer than 10% of patients in low-income countries.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-us-iran-war-strait-of-hormuz-0,us-iran-war-strait-of-hormuz,The Strait of Hormuz carries approximately 20% of global seaborne oil trade daily.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-us-iran-war-strait-of-hormuz-1,us-iran-war-strait-of-hormuz,India has diversified 70% of its crude imports away from the Hormuz corridor.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-us-iran-war-strait-of-hormuz-2,us-iran-war-strait-of-hormuz,Brent crude could reach $170-200 per barrel if the strait remains fully closed.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-us-iran-war-strait-of-hormuz-3,us-iran-war-strait-of-hormuz,The ceasefire MOU was working until Israel's actions in Lebanon sabotaged it.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-us-iran-war-strait-of-hormuz-4,us-iran-war-strait-of-hormuz,India's oil import costs have increased by $2.5 billion per month since the war began.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-us-iran-war-strait-of-hormuz-5,us-iran-war-strait-of-hormuz,The IRGC is charging $1 million+ per vessel to transit the strait.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-us-iran-war-strait-of-hormuz-6,us-iran-war-strait-of-hormuz,The US Senate passed a war-powers resolution against the conflict.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-epf-scheme-2026-0,epf-scheme-2026,The EPF Scheme 2026 changes the employee contribution rate from 12% to a new rate.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-epf-scheme-2026-1,epf-scheme-2026,The EPF interest rate of 8.25% for FY 2025-26 is risk-free and guaranteed by the government.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-epf-scheme-2026-2,epf-scheme-2026,EPS pension will be processed within 20 days or EPFO pays 12% interest penalty.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-epf-scheme-2026-3,epf-scheme-2026,"The minimum monthly pension under EPS 2026 has been increased from ₹1,000.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-epf-scheme-2026-4,epf-scheme-2026,Existing EPF subscribers need to re-register under the new scheme.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-epf-scheme-2026-5,epf-scheme-2026,The government can temporarily reduce EPF contributions during emergencies.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-epf-scheme-2026-6,epf-scheme-2026,EPF tax-free compounding generates significantly more wealth than bank FDs over long periods.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-youth-mental-health-crisis-0,youth-mental-health-crisis,Student suicides in India increased by over 35% between 2019 and 2023.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-youth-mental-health-crisis-1,youth-mental-health-crisis,Only 12% of government schools in India have a counsellor.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-youth-mental-health-crisis-2,youth-mental-health-crisis,Academic pressure is the leading cause of student suicides in India.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-youth-mental-health-crisis-3,youth-mental-health-crisis,India has sufficient child psychiatrists to meet WHO standards.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-youth-mental-health-crisis-4,youth-mental-health-crisis,The Mental Healthcare Act 2017 guarantees free mental healthcare for all.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-youth-mental-health-crisis-5,youth-mental-health-crisis,Social media is a leading documented cause of student suicides.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-youth-mental-health-crisis-6,youth-mental-health-crisis,Tele-MANAS has received over 15 lakh calls since launch.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-gig-worker-rights-0,gig-worker-rights,India's gig and platform workforce was 77 lakh in 2020-21 and is projected to reach 2.35 crore by 2029-30.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-gig-worker-rights-1,gig-worker-rights,Karnataka is the first Indian state to legislate social security for platform-based gig workers.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-gig-worker-rights-2,gig-worker-rights,The central government's Code on Social Security 2020 provisions for gig workers are fully implemented.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-gig-worker-rights-3,gig-worker-rights,"Most gig workers earn a stable, predictable monthly income.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-gig-worker-rights-4,gig-worker-rights,Algorithmic deactivation without notice is a widespread grievance among gig workers.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-gig-worker-rights-5,gig-worker-rights,Women comprise a large and growing share of India's gig workforce.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-gig-worker-rights-6,gig-worker-rights,Over 30 crore unorganised workers are now covered by the e-Shram database.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-namami-gange-under-fire-0,namami-gange-under-fire,Namami Gange has significantly improved water quality across the Ganga's main stem.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-namami-gange-under-fire-1,namami-gange-under-fire,Sewage treatment capacity has increased 30-fold since pre-2014 levels.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-namami-gange-under-fire-2,namami-gange-under-fire,The programme has successfully involved local communities in river conservation.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-namami-gange-under-fire-3,namami-gange-under-fire,The Ganga riverfront development benefits local river-dependent communities.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-namami-gange-under-fire-4,namami-gange-under-fire,"Gangetic dolphin populations have more than doubled, indicating ecological recovery.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-namami-gange-under-fire-5,namami-gange-under-fire,Funds under Namami Gange have been efficiently utilised.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-border-lac-0,india-china-border-lac,The border dispute originates in competing territorial claims inherited from British colonial period.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-border-lac-1,india-china-border-lac,China built a strategic road through Aksai Chin (1954–1957) without Indian knowledge.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-border-lac-2,india-china-border-lac,The 1959 Tibetan uprising caused irreversible deterioration in relations.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-border-lac-3,india-china-border-lac,"China's 1962 offensive was limited in aim — not conquest, but to ""teach India a lesson.""",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-border-lac-4,india-china-border-lac,India's 1962 defeat was caused by military unpreparedness and faulty strategy.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-border-lac-5,india-china-border-lac,"The post-1962 ""cold peace"" is maintained through agreements that manage but do not resolve the dispute.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-india-china-border-lac-6,india-china-border-lac,Galwan (2020) was the first fatal conflict since 1967 and represents structural escalation.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-kashmir-the-first-test-0,kashmir-the-first-test,"The partition framework left princely states to choose their allegiance, but Kashmir's unique demography made this framework unworkable.",Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-kashmir-the-first-test-1,kashmir-the-first-test,The tribal invasion of October 1947 was not spontaneous but was planned and supported by Pakistan's leadership.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-kashmir-the-first-test-2,kashmir-the-first-test,Maharaja Hari Singh signed the Instrument of Accession under extreme military pressure.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-kashmir-the-first-test-3,kashmir-the-first-test,India's airlift of troops to Srinagar on 27 October 1947 prevented the fall of the Kashmir Valley.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-kashmir-the-first-test-4,kashmir-the-first-test,India's referral of Kashmir to the UN Security Council was a strategic error.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-kashmir-the-first-test-5,kashmir-the-first-test,The ceasefire line established in January 1949 became a permanent division that has never been settled.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ng-ch-01-the-promise-0,ng-ch-01-the-promise,Namami Gange was fundamentally different from the Ganga Action Plan in design and scope.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ng-ch-01-the-promise-1,ng-ch-01-the-promise,UN World Restoration Flagship status validates the programme's environmental impact.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ng-ch-02-follow-the-money-0,ng-ch-02-follow-the-money,Fund utilisation for Namami Gange has been satisfactory overall.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ng-ch-02-follow-the-money-1,ng-ch-02-follow-the-money,The Hybrid Annuity Model ensures private sector efficiency in STP construction.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ng-ch-03-the-sewage-problem-0,ng-ch-03-the-sewage-problem,Sewage treatment capacity has increased 30-fold since pre-2014.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ng-ch-04-the-audit-trail-0,ng-ch-04-the-audit-trail,Multiple audits show systemic governance failures.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ng-ch-07-water-quality-0,ng-ch-07-water-quality,Ganga water quality has significantly improved under Namami Gange.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ng-ch-11-ecology-0,ng-ch-11-ecology,Dolphin population doubling proves ecological recovery.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
claim-ng-ch-14-what-worked-0,ng-ch-14-what-worked,Some infrastructure has genuinely improved.,Unlinked (Story-Local),1,Independent Pipeline,Retain local linkage; assess consolidation in Phase 2
