slug,title,status,lastVerified,ageDays,severity,reasons,recommendedAction
india-ev-paradox,"India's EV Paradox: Rising Sales, Stalled Charging, and the ₹4 Lakh Crore Battery Import Bill",CURRENT,2026-08-15T06:00:00Z,14,NONE,"","No action needed"
ayushman-bharat,"Ayushman Bharat: India's ₹30,000 Crore Bet on Universal Health Coverage",CURRENT,2026-08-10T06:00:00Z,19,NONE,"","No action needed"
electoral-bonds,"Electoral Bonds: The ₹12,769 Crore Anonymous Donation Scheme the Supreme Court Struck Down",CURRENT,2026-08-14T06:00:00Z,15,NONE,"","No action needed"
who-cancer-report-2026,"Global Cancer Crisis: WHO Report Warns 35 Million Cases Per Year by 2050 Without Urgent Action",CURRENT,2026-07-08T10:00:00Z,52,NONE,"","No action needed"
us-iran-war-strait-of-hormuz,"The Strait of Hormuz War: How the US-Iran Conflict Broke Global Energy Markets",CURRENT,2026-07-11T12:00:00Z,49,NONE,"","No action needed"
epf-scheme-2026,"EPF Scheme 2026: India Replaces 74-Year-Old Retirement Law Under New Social Security Code",CURRENT,2026-07-11T10:00:00Z,49,NONE,"","No action needed"
youth-mental-health-crisis,"Youth Mental Health Crisis in India: Understanding Rising Suicide Rates",CURRENT,2026-07-11T12:00:00Z,49,NONE,"","No action needed"
gig-worker-rights,"Gig Worker Rights in India: The Fight for Dignity in the Platform Economy",CURRENT,2026-07-12T12:00:00Z,48,NONE,"","No action needed"
namami-gange-under-fire,"Namami Gange: Inside India's ₹27,000 Crore Fight to Clean the Ganga — and the Communities It Left Behind",CURRENT,2026-07-14T06:00:00Z,46,NONE,"","No action needed"
india-china-border-lac,"The Cold Peace Along the LAC: Why the India–China Border Remains Unsettled After 75 Years",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
kashmir-the-first-test,"Kashmir: The First Test — How the 1947–48 War Established a Conflict That Remains Unresolved 75 Years Later",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-01-the-promise,"The Promise: Why Namami Gange Was Launched and What It Set Out to Achieve",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-02-follow-the-money,"Follow the Money: Budget Sanctioned, Released, and Actually Spent",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-03-the-sewage-problem,"Chapter 3: The Sewage Problem — How Much Waste Enters the Ganga Every Day",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-04-the-audit-trail,"Chapter 4: The Audit Trail — Every Official Finding from 2017 to 2025",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-05-procurement-and-accountability,"Chapter 5: Procurement & Accountability — Where Audit Findings End and Corruption Cases Begin",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-06-why-stps-dont-work,"Chapter 6: Why STPs Don't Work — The Engineering and Governance Failures",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-07-water-quality,"Chapter 7: Water Quality — What the Scientific Data Actually Shows",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-08-city-report-cards,"Chapter 8: City Report Cards — Haridwar, Kanpur, Prayagraj, Varanasi, Patna, Kolkata",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-09-contractors,"Chapter 9: The Contractor Network — EPC, HAM, O&M — Who Builds the STPs",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-10-timeline-of-delays,"Chapter 10: Timeline of Delays — Every Major Project from Approval to Commissioning",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-11-ecology,"Chapter 11: Ecological Outcomes — Dolphins, Wetlands, and River Flow",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-12-voices-from-the-river,"Chapter 12: Voices from the River — What Communities, Scientists, and Officials Say",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-13-government-response,"Chapter 13: Government Response — The Official Defence of Namami Gange",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-14-what-worked,"Chapter 14: What Actually Worked — Documented Successes",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
ng-ch-15-recommendations,"Chapter 15: Recommendations — Evidence-Backed Fixes",CURRENT,2026-07-15T06:00:00Z,45,NONE,"","No action needed"
